name,team,position,owner,age,careerGames,seasons,adp,ownedPct,projAvg,avgPts,totalPts,L5,L3,L1,games,TOG%,kicks,handballs,marks,hitouts,tackles,freesFor,freesAgainst,goals,behinds
"Bailey Smith",GEE,MID,"Baz’s 8-balls",25,132,8,7.4,99.17,113.9,127.7,766,137.2,134,145,6,84.2,22.3,10,4.8,0,5.5,2,0.3,0.5,0.2
"Nick Daicos",COL,MID,"Lachie’s Flesh Clarrynet",23,100,5,2.5,99.31,111.3,125.4,627,125.4,121.3,128,5,87.8,20.2,15.8,5.4,0,2.2,1.8,0.4,1,1.6
"Harry Sheezel",NTH,MID/FWD,GuldenEye,21,73,4,2.5,98.90,111.8,117.3,704,117.2,107.3,136,6,78.8,16.7,16.2,6.8,0,3.7,0.7,1.2,0.3,0.7
"Max Gawn",MEL,RUC,"Houston we have a problem",34,253,17,30.7,99.17,109.1,116.5,699,118,107.3,93,6,84.3,11.2,11,4.2,35.2,2.3,3.3,0.8,0.5,0.2
"Callum Wilkie",STK,DEF,"Heartbreak Jake & da Subs",30,161,8,127.4,96.97,82,113.8,683,115.8,118.3,130,6,100,18.5,8,11.5,0,2,0.3,0.2,0,0
"Errol Gulden",SYD,MID,GuldenEye,23,105,6,9.1,98.49,108.8,113.5,227,113.5,113.5,101,2,73.5,13.5,10,4.5,0,9.5,0.5,1,0.5,1
"Lachie Ash",GWS,DEF,"Baz’s 8-balls",24,131,7,23.3,99.31,101.2,113.3,680,119.2,107.7,114,6,81.3,20.8,9.5,8.7,0,1.5,0.7,0.3,0,0.2
"Jack Sinclair",STK,DEF,"The Forrie Crystals",31,216,12,34.6,99.17,100,111.2,667,109,104.3,117,6,86,20.7,10,7,0,2,0.7,0.2,0,0
"Zach Merrett",ESS,MID,"The Forrie Crystals",30,257,13,38.1,98.90,101,110.8,665,110.6,127.3,151,6,82.5,15.7,11.3,5.2,0,5.3,1.8,0.7,0.7,0.5
"Max Holmes",GEE,MID,"Kids can call you Bont-ju",23,108,6,17.8,99.04,103.4,110.3,662,110.8,103.7,96,6,80,18.5,11,6.2,0,4.2,0.8,1.5,0.2,0.3
"Jack Steele",MEL,MID,"Banks' Palm Cards",30,208,12,62.1,98.90,96.7,109.8,659,114.8,100.3,87,6,75.3,12.8,12,4.3,0,7.8,1.3,0.2,0.3,0.2
"Zak Butters",PTA,MID,"Houston we have a problem",25,145,8,11.7,99.17,103.3,108.2,649,111.4,109,125,6,82.7,17.5,13.3,3,0,4.2,2.3,0.7,0.3,1
"Isaac Heeney",SYD,MID/FWD,"The Forrie Crystals",29,229,12,29.6,99.17,98.1,107.6,538,107.6,125,104,5,73.6,13.6,11,3.8,0,5.4,2.2,1,2,0.6
"Archie Roberts",ESS,DEF/MID,"The Forrie Crystals",20,33,3,45.2,98.35,91.6,107.3,644,117,139,117,6,81,21.5,9,7,0,0.8,1,0.5,0.2,0
"Brodie Grundy",SYD,RUC,"Heartbreak Jake & da Subs",32,248,14,32.4,98.90,103.9,107,642,107.2,132.3,130,6,81.5,7.2,12.7,2.7,35,5.2,1.5,3.2,0.7,0.5
"Ed Richards",WBD,MID,"Naughty Dog Entertainment",26,153,9,36.5,99.17,97.5,106.8,534,106.8,106,133,5,78.4,16,10,4.6,0,6.4,0.6,1.2,0.4,0
"Matthew Kennedy",WBD,MID,"Prince McAndrew",29,147,11,81.7,98.35,91.7,103.5,621,101.2,101,99,6,81.3,14,14.2,4.3,0,5.5,0.7,1.7,0.3,0.5
"Jayden Short",RIC,DEF,iWalshMyslfwthATonInMyMid,30,196,12,125.2,96.97,86.1,102.5,615,100.2,92,99,6,81.5,20.5,5,8.5,0,1.2,1.3,0.7,0.2,0.5
"Josh Daicos",COL,DEF,iWalshMyslfwthATonInMyMid,27,157,10,35.5,99.31,96.5,102.3,614,94.6,83.7,97,6,82,18.2,10.3,6.7,0,2.3,0.7,1,0,0.2
"Lachie Whitfield",GWS,DEF,"Naughty Dog Entertainment",31,263,14,28.5,99.17,104.2,101.7,610,104.6,113,101,6,81.5,16.8,13,6.5,0,2.3,0.3,1.3,0,0
"Luke Jackson",FRE,RUC/FWD,"Lachie’s Flesh Clarrynet",24,125,7,16.6,99.04,95,101.5,609,96.8,110.3,103,6,79,7,12,2.2,26,5.8,1.5,2,0.7,1.2
"Tristan Xerri",NTH,RUC,"Jags to riches",27,79,9,13.5,99.04,107.3,101,303,101,101,55,3,82.7,6.3,13.3,2,23.3,6.7,3.3,2,0.3,0
"Kysaiah Pickett",MEL,MID/FWD,"Banks' Palm Cards",24,132,7,37.5,99.04,90.8,100.8,605,102.8,100.7,80,6,83,16.7,7.2,3.2,0,5.7,1,1.2,1,0.8
"Dayne Zorko",BRL,DEF,GuldenEye,37,309,15,86.2,98.35,93.9,100.6,503,100.6,80,29,5,73.2,19.8,5.2,6.8,0,1.8,0.8,0,0.4,0
"Jordan Dawson",ADE,MID,"Kids can call you Bont-ju",29,160,11,13.7,99.31,110.2,99.8,399,99.8,101.3,85,4,80.8,15.8,8,3.3,0,5.5,1.8,1,1,0
