name,team,position,owner,age,careerGames,seasons,adp,ownedPct,projAvg,avgPts,totalPts,L5,L3,L1,games,TOG%,kicks,handballs,marks,hitouts,tackles,freesFor,freesAgainst,goals,behinds
"Nick Daicos",COL,MID,"Lachie’s Flesh Clarrynet",23,113,5,3.4,99.18,111.3,120.2,2163,116,108.7,116,18,86.7,19.2,15.8,4.6,0,2.4,1.3,0.7,1.2,1.1
"Harry Sheezel",NTH,MID/FWD,GuldenEye,21,86,4,2.5,98.91,111.8,119.4,2268,139,122.7,118,19,81.8,15.4,16.2,6.7,0,4.9,0.8,1.2,0.5,0.6
"Bailey Smith",GEE,MID,"Xing’s Brother",25,144,8,8.5,99.18,113.9,117.8,2120,112.2,111,95,18,84.2,19.7,12.4,4.2,0,4.8,1.6,0.8,0.4,0.2
"Jordan Dawson",ADE,MID,"Kids can call you Bont-ju",29,172,11,13.5,99.32,110.2,113.5,1816,109.4,104.3,99,16,83.4,17,8.1,5.4,0,6,1.4,1.2,1.3,0.4
"Nasiah Wanganeen-Milera",STK,D/M,GuldenEye,23,101,5,3.6,99.18,110.6,112.1,1682,134.6,125.7,182,15,82.1,22.8,8.3,3.2,0,2.8,1.8,0.9,1.1,0.9
"Max Gawn",MEL,RUC,"Houston we have a problem",34,266,17,30.2,99.04,109.1,108.3,2058,104.2,104.7,110,19,83,10.6,10.7,4.3,32.2,1.7,2.5,1.2,0.6,0.4
"Will Ashcroft",BRL,MID,"Scissorlift Victims Unit",22,77,4,17.5,98.77,101.9,106.4,2022,126,125.3,126,19,82.4,16.8,11.3,5.2,0,3.6,1.2,0.7,0.6,0.7
"Zach Merrett",ESS,MID,"The Forrie Crystals",30,270,13,39.0,99.04,101,106.2,2018,93.4,85,97,19,83.5,14.6,12.6,4.8,0,5.1,1.5,0.6,0.5,0.3
"Isaac Heeney",SYD,MID/FWD,"The Forrie Crystals",30,241,12,30.4,99.18,98.1,105.8,1799,98.6,86.7,80,17,79.2,13,14.2,3.1,0,5,1.9,0.8,1.5,0.6
"Lachie Ash",GWS,DEF,"Xing’s Brother",25,144,7,23.3,99.18,101.2,104.5,1985,97,103,102,19,82.2,18.9,10.2,7.5,0,1.5,0.5,0.7,0.1,0.1
