name,team,position,owner,age,careerGames,seasons,adp,ownedPct,projAvg,avgPts,totalPts,L5,L3,L1,games,TOG%,kicks,handballs,marks,hitouts,tackles,freesFor,freesAgainst,goals,behinds
"Harry Sheezel",NTH,MID/FWD,GuldenEye,21,87,4,2.5,98.91,111.8,119.6,2392,129.2,122.7,124,20,82.2,15.3,16,6.8,0,5,0.9,1.1,0.6,0.6
"Nick Daicos",COL,MID,"Lachie’s Flesh Clarrynet",23,114,5,3.4,99.18,111.3,119.6,2272,109.2,112.7,109,19,86.8,19.1,15.9,4.4,0,2.5,1.4,0.7,1.1,1
"Bailey Smith",GEE,MID,"Xing’s Brother",25,145,8,8.5,99.18,113.9,115.4,2193,106.4,95.3,73,19,84.3,19.6,12.3,4,0,4.6,1.5,0.8,0.4,0.2
"Jordan Dawson",ADE,MID,"Kids can call you Bont-ju",29,173,11,13.5,99.32,110.2,112.5,1912,107,99,96,17,83.2,17.1,8.4,5.3,0,5.8,1.5,1.3,1.2,0.4
"Nasiah Wanganeen-Milera",STK,D/M,GuldenEye,23,102,5,3.6,99.04,110.6,111.3,1781,127.2,119,99,16,81.9,22.6,8.1,3.1,0,2.8,1.8,0.9,1.2,0.8
"Max Gawn",MEL,RUC,"Houston we have a problem",34,267,17,30.2,99.04,109.1,109.5,2190,108.2,114,132,20,83.3,10.7,10.8,4.6,32.2,1.8,2.5,1.3,0.6,0.5
"Will Ashcroft",BRL,MID,"Scissorlift Victims Unit",22,78,4,17.5,98.77,101.9,106.4,2128,120.4,113.3,106,20,82.6,16.7,11.6,5,0,3.6,1.3,0.8,0.7,0.7
"Isaac Heeney",SYD,MID/FWD,"The Forrie Crystals",30,242,12,30.4,99.18,98.1,105.7,1903,94.2,92,104,18,79.8,13.1,13.9,3.2,0,4.9,2.1,0.8,1.6,0.7
"Zach Merrett",ESS,MID,"The Forrie Crystals",30,271,13,39.0,99.04,101,105.3,2105,91.6,102.3,87,20,83.6,14.5,12.8,4.8,0,4.9,1.6,0.7,0.5,0.3
"Zak Butters",PTA,MID,"Houston we have a problem",25,156,8,11.7,98.50,103.3,104.5,1777,105.8,108.7,95,17,82.4,17,12.8,3.5,0,4.2,2,1.2,0.3,0.6
"Lachie Ash",GWS,DEF,"Xing’s Brother",25,145,7,23.3,99.18,101.2,103.6,2071,96.4,92.3,86,20,82,18.8,10.1,7.4,0,1.5,0.5,0.7,0.1,0.1
