name,team,position,owner,age,careerGames,seasons,adp,ownedPct,projAvg,avgPts,totalPts,L5,L3,L1,games,TOG%,kicks,handballs,marks,hitouts,tackles,freesFor,freesAgainst,goals,behinds
"Nick Daicos",COL,MID,"Lachie’s Flesh Clarrynet",23,101,5,2.5,99.18,111.3,127,762,125.2,119.7,135,6,87.5,20.5,16.5,5.8,0,2,1.5,0.5,0.8,2
"Bailey Smith",GEE,MID,"Baz’s 8-balls",25,133,8,7.4,99.18,113.9,124.7,873,132.6,128.3,107,7,83.7,21.4,10.6,5.1,0,5.1,1.9,0.4,0.4,0.1
"Harry Sheezel",NTH,MID/FWD,GuldenEye,21,74,4,2.5,98.90,111.8,116.7,817,114.2,118,113,7,79.6,16.7,16,6.6,0,3.7,0.7,1.3,0.4,0.6
"Callum Wilkie",STK,DEF,"Heartbreak Jake & da Subs",30,162,8,127.2,96.84,82,115.1,806,117,128,123,7,100,18.7,7.6,12.1,0,1.9,0.4,0.1,0,0
"Errol Gulden",SYD,MID,GuldenEye,23,105,6,9.2,98.35,108.8,113.5,227,113.5,113.5,101,2,73.5,13.5,10,4.5,0,9.5,0.5,1,0.5,1
"Max Gawn",MEL,RUC,"Houston we have a problem",34,254,17,30.5,99.04,109.1,113,791,111,97.7,92,7,83.3,10.7,11.1,4.3,33.1,2.1,3.1,1,0.6,0.4
"Lachie Ash",GWS,DEF,"Baz’s 8-balls",24,132,7,23.3,99.18,101.2,112.3,786,113.2,108.3,106,7,81.6,20.7,9.6,8.4,0,1.6,0.9,0.6,0,0.3
"Tristan Xerri",NTH,RUC,"Jags to riches",27,80,9,13.5,99.04,107.3,112,448,112,117.3,145,4,82.5,7,14,2.8,23.8,8,3.5,2,0.3,0
"Archie Roberts",ESS,DEF/MID,"The Forrie Crystals",20,34,3,45.4,98.22,91.6,111.1,778,126.6,138.3,134,7,82.6,22.4,9.7,7.3,0,0.9,0.9,0.9,0.1,0
"Jack Sinclair",STK,DEF,"The Forrie Crystals",31,217,12,34.7,99.04,100,108.9,762,106,100.7,95,7,85.9,21,9.1,6.9,0,1.7,0.6,0.1,0,0
"Brodie Grundy",SYD,RUC,"Heartbreak Jake & da Subs",32,249,14,32.6,98.77,103.9,108.3,758,120.2,125.3,116,7,80.7,7.1,12.4,3,35,5,1.4,3,0.9,0.4
"Isaac Heeney",SYD,MID/FWD,"The Forrie Crystals",29,229,12,29.5,99.18,98.1,107.6,538,107.6,125,104,5,73.6,13.6,11,3.8,0,5.4,2.2,1,2,0.6
"Jack Steele",MEL,MID,"Banks' Palm Cards",30,209,12,62.1,98.90,96.7,107.6,753,106,94.3,94,7,75.6,13,11.9,4.4,0,7.3,1.4,0.3,0.3,0.1
"Luke Jackson",FRE,RUC/FWD,"Lachie’s Flesh Clarrynet",24,126,7,16.6,98.90,95,106.3,744,109.4,123,135,7,78.7,7.1,12.1,2.6,26.7,5.9,1.6,1.7,0.9,1.1
"Max Holmes",GEE,MID,"Kids can call you Bont-ju",23,109,6,17.9,98.90,103.4,105.9,741,100.2,94,79,7,80,17.9,11,6,0,3.6,0.7,1.3,0.1,0.3
"Zak Butters",PTA,MID,"Houston we have a problem",25,146,8,11.7,99.04,103.3,105.3,737,100.2,110.3,88,7,83.6,17.6,13.1,2.9,0,4.1,2.4,1.3,0.3,0.9
"Kysaiah Pickett",MEL,MID/FWD,"Banks' Palm Cards",24,133,7,37.4,98.90,90.8,105.1,736,113.4,111.7,131,7,82.6,18.1,6.4,3.3,0,5.1,1.1,1,1.4,0.7
"Josh Daicos",COL,DEF,iWalshMyslfwthATonInMyMid,27,158,10,35.3,99.18,96.5,105,735,98.4,98,121,7,82.4,18.7,10.7,6.9,0,2.1,0.7,0.9,0,0.1
"Lachie Neale",BRL,MID,"Lachie’s Flesh Clarrynet",32,301,15,81.4,98.49,93,105,735,107,118.3,159,7,85.4,14.6,16.6,6.4,0,2.1,0.4,0.1,0,0.3
"Zach Merrett",ESS,MID,"The Forrie Crystals",30,258,13,38.0,99.04,101,103.9,727,103,107.3,62,7,82.6,14.9,11.4,4.6,0,4.9,1.6,0.7,0.6,0.4
"Sam Walsh",CAR,MID,iWalshMyslfwthATonInMyMid,25,140,8,32.6,99.04,96.7,103.3,723,104.8,113.7,135,7,79.6,12.9,15.9,3.7,0,5.7,1.1,1.4,0.3,0.4
"Will Ashcroft",BRL,MID,"Scissorlift Victims Unit",21,65,4,17.5,98.77,101.9,103.1,722,109.2,99.7,131,7,84.1,16.6,11.9,4.9,0,3.7,0.9,1.1,0.4,0.3
"Jordan Dawson",ADE,MID,"Kids can call you Bont-ju",29,161,11,13.7,99.31,110.2,103,515,103,100.3,116,5,82,16.6,8,4.2,0,4.6,1.4,0.8,1.2,0
