name,team,position,owner,age,careerGames,seasons,adp,ownedPct,projAvg,avgPts,totalPts,L5,L3,L1,games,TOG%,kicks,handballs,marks,hitouts,tackles,freesFor,freesAgainst,goals,behinds
"Bailey Smith",GEE,MID,"Xing’s Brother",25,138,8,8.5,99.18,113.9,120.9,1451,115.6,126.7,126,12,84.2,19.8,12.8,4.3,0,4.9,1.8,0.6,0.5,0.3
"Nick Daicos",COL,MID,"Lachie’s Flesh Clarrynet",23,106,5,3.4,99.18,111.3,119.8,1318,111.2,112.3,109,11,86.1,19.2,15.7,4.7,0,2.1,1.4,0.4,1.1,1.5
"Errol Gulden",SYD,MID,GuldenEye,23,105,6,9.9,98.36,108.8,113.5,227,113.5,113.5,101,2,73.5,13.5,10,4.5,0,9.5,0.5,1,0.5,1
"Harry Sheezel",NTH,MID/FWD,GuldenEye,21,78,4,2.5,98.91,111.8,112.5,1238,106.8,113.7,121,11,79.5,15.9,14.6,6.1,0,4.3,1,1.4,0.5,0.5
"Jordan Dawson",ADE,MID,"Kids can call you Bont-ju",29,164,11,13.5,99.18,110.2,110.6,885,114.2,123.3,131,8,83.3,17.5,8,5.5,0,5.1,1.6,1.1,1.1,0.1
"Isaac Heeney",SYD,MID/FWD,"The Forrie Crystals",30,234,12,30.2,99.05,98.1,109.9,1099,112.2,119.7,163,10,78,13.3,13.4,3.3,0,5.4,2.2,1,2,0.5
"Archie Roberts",ESS,DEF/MID,"The Forrie Crystals",20,39,3,44.7,98.09,91.6,108.8,1305,105.4,95,78,12,84,22.4,9.9,6.8,0,1,0.7,1.3,0.1,0
"Max Gawn",MEL,RUC,"Houston we have a problem",34,259,17,30.1,98.91,109.1,108.7,1304,102.6,102,123,12,82.5,10.5,10.3,4.3,30.9,1.9,2.6,0.8,0.7,0.6
"Zach Merrett",ESS,MID,"The Forrie Crystals",30,263,13,38.9,99.05,101,108.5,1302,115,117.7,109,12,82.3,14.9,12.8,4.9,0,5.1,1.6,0.8,0.6,0.4
"Lachie Ash",GWS,DEF,"Xing’s Brother",24,137,7,23.3,99.18,101.2,108,1296,102,106,131,12,80.9,19.5,10.5,8.1,0,1.3,0.8,0.7,0,0.2
"Brodie Grundy",SYD,RUC,"Heartbreak Jake & da Subs",32,253,14,32.2,98.91,103.9,107.4,1181,107.8,98.3,80,11,81.3,7.5,13,2.6,35.8,4.3,1.8,2.9,0.7,0.5
"Jack Sinclair",STK,DEF,"The Forrie Crystals",31,222,12,36.0,99.05,100,107.2,1286,104.8,108.3,109,12,84.1,21,8.7,6.8,0,1.7,0.3,0.3,0.1,0.1
"Zak Butters",PTA,MID,"Houston we have a problem",25,150,8,11.7,98.91,103.3,107,1177,105.6,109.3,97,11,84.1,16.9,13.8,3.5,0,4.4,2,1.3,0.3,0.7
"Tristan Xerri",NTH,RUC,"Jags to riches",27,84,9,13.4,99.05,107.3,104,832,105.8,84.3,100,8,76,7.9,12.1,2.8,22.1,6.4,4.3,2.1,0.4,0.1
"Marcus Bontempelli",WBD,MID,"Kids can call you Bont-ju",30,270,13,10.0,99.18,112.5,103.6,1243,106.8,95,86,12,84.8,13.2,13.8,4.2,0.1,4.1,0.8,0.8,1.4,0.4
"Luke Jackson",FRE,RUC/FWD,"Lachie’s Flesh Clarrynet",24,131,7,16.6,98.91,95,103,1236,98.4,78.3,72,12,78.3,7.5,11.5,2.5,25.6,5.5,1.9,1.7,0.8,1
"Max Holmes",GEE,MID,"Kids can call you Bont-ju",23,114,6,17.9,98.91,103.4,103,1236,99,96.3,88,12,80.2,16.9,12.3,5.4,0,3,0.7,1,0.3,0.3
"Lachie Neale",BRL,MID,"Lachie’s Flesh Clarrynet",33,306,15,81.3,98.50,93,102.5,1230,99,87.3,67,12,83.8,14.4,15.7,5.7,0,2.3,1,0.4,0.3,0.3
"Lachie Whitfield",GWS,DEF,"Naughty Dog Entertainment",31,268,14,28.5,99.05,104.2,102.1,1123,102.6,98,110,11,80.2,18,11.4,6.3,0,2.4,0.4,1.1,0,0
