name,team,position,owner,age,careerGames,seasons,adp,ownedPct,projAvg,avgPts,totalPts,L5,L3,L1,games,TOG%,kicks,handballs,marks,hitouts,tackles,freesFor,freesAgainst,goals,behinds
"Nick Daicos",COL,MID,"Lachie’s Flesh Clarrynet",23,99,5,2.5,99.17,111.3,124.8,499,124.8,121,96,4,86.3,21.5,13.8,5.3,0,2.3,1.8,0.5,1,1.8
"Bailey Smith",GEE,MID,"Baz’s 8-balls",25,131,8,7.4,99.17,113.9,124.2,621,124.2,137,133,5,84,22,10.2,4.2,0,5.2,1.8,0,0.4,0.2
"Max Gawn",MEL,RUC,"Houston we have a problem",34,252,17,30.7,99.17,109.1,121.2,606,121.2,123.3,108,5,85.4,11.8,10.6,5,37.6,2,3.2,1,0.6,0.2
"Bailey J. Williams",WCE,RUC/FWD,"Kids can call you Bont-ju",25,89,8,,39.94,56.8,115,115,115,115,115,1,75,7,13,4,35,4,5,0,0,0
"Jack Steele",MEL,MID,"Banks' Palm Cards",30,207,12,62.1,98.76,96.7,114.4,572,114.4,116.3,102,5,74,13.4,12.4,4.8,0,8.2,1.4,0.2,0.2,0.2
"Harry Sheezel",NTH,MID/FWD,GuldenEye,21,72,4,2.5,98.90,111.8,113.6,568,113.6,107.3,105,5,79.6,16.2,15.4,6.6,0,4,0.6,1.2,0.2,0.2
"Errol Gulden",SYD,MID,GuldenEye,23,105,6,9.1,98.48,108.8,113.5,227,113.5,113.5,101,2,73.5,13.5,10,4.5,0,9.5,0.5,1,0.5,1
"Marcus Bontempelli",WBD,MID,"Kids can call you Bont-ju",30,263,13,9.0,99.31,112.5,113.4,567,113.4,113.3,102,5,84.4,15,13.6,5.2,0.2,4.2,1,0.8,1.6,0.4
"Lachie Ash",GWS,DEF,"Baz’s 8-balls",24,130,7,23.3,99.31,101.2,113.2,566,113.2,115.3,105,5,81.6,21.2,9.4,8.8,0,1.2,0.6,0.4,0,0.2
"Max Holmes",GEE,MID,"Kids can call you Bont-ju",23,107,6,17.8,99.04,103.4,113.2,566,113.2,108.7,107,5,79.8,18.6,11.2,6,0,4.8,1,1.6,0.2,0.4
"Nick Madden",GWS,RUC,"The Forrie Crystals",21,4,4,231.0,74.10,67,111,111,111,111,111,1,84,4,12,2,43,7,0,1,0,1
"Callum Wilkie",STK,DEF,"Heartbreak Jake & da Subs",30,160,8,127.4,96.56,82,110.6,553,110.6,110.7,131,5,100,17.6,8,11.4,0,2,0.2,0.2,0,0
"Jack Sinclair",STK,DEF,"The Forrie Crystals",31,215,12,34.6,99.17,100,110,550,110,106,90,5,85.8,20.6,9.2,7,0,2.2,0.6,0.2,0,0
"Isaac Heeney",SYD,MID/FWD,"The Forrie Crystals",29,228,12,29.6,99.17,98.1,108.5,434,108.5,112,145,4,73,13.5,10.3,4,0,5.5,1.5,1.3,2.5,0.8
"Jordan Ridley",ESS,DEF,"Heartbreak Jake & da Subs",27,105,10,198.8,82.78,76.8,106,106,106,106,106,1,78,17,9,11,0,1,0,0,0,0
"Tom Liberatore",WBD,MID,"Naughty Dog Entertainment",33,260,16,91.5,97.80,95,106,318,106,106,108,3,78.3,15,13.3,4,0,5.7,0.7,1,0.3,0
"Archie Roberts",ESS,DEF/MID,"The Forrie Crystals",20,32,3,45.2,98.21,91.6,105.4,527,105.4,127.3,164,5,81.2,21,9,7,0,0.8,0.8,0.6,0.2,0
"Kysaiah Pickett",MEL,MID/FWD,"Banks' Palm Cards",24,131,7,37.5,99.04,90.8,105,525,105,118.7,124,5,82.8,17,7.2,3.6,0,5.8,1,1.2,1.2,1
"Zak Butters",PTA,MID,"Houston we have a problem",25,144,8,11.7,99.17,103.3,104.8,524,104.8,96,118,5,82,17.6,12.4,2.8,0,4,2.2,0.6,0.2,1.2
"Matthew Kennedy",WBD,MID,"Prince McAndrew",29,146,11,81.7,98.35,91.7,104.4,522,104.4,99,95,5,80.4,14.6,13.8,4.2,0,5.2,0.8,1.4,0.4,0.6
"Finn Callaghan",GWS,MID,"JD Vyvance",22,76,5,21.3,98.90,102.2,104,520,104,108.3,111,5,79.8,14.4,17,3.8,0,4,1,1.4,0.4,0.2
"Josh Daicos",COL,DEF,iWalshMyslfwthATonInMyMid,27,156,10,35.5,99.31,96.5,103.4,517,103.4,91.3,76,5,82,18.8,10.2,6.4,0,2.4,0.8,1,0,0
"Jayden Short",RIC,DEF,iWalshMyslfwthATonInMyMid,30,195,12,125.2,96.97,86.1,103.2,516,103.2,90,79,5,80.6,20.8,4.6,8.6,0,1.4,1,0.8,0.2,0.4
"Zach Merrett",ESS,MID,"The Forrie Crystals",30,256,13,38.1,98.90,101,102.8,514,102.8,100.7,109,5,81.8,14.4,11.2,4.4,0,4.8,2,0.4,0.6,0.4
"Brodie Grundy",SYD,RUC,"Heartbreak Jake & da Subs",31,247,14,32.4,98.90,103.9,102.4,512,102.4,118.3,130,5,81.6,6.6,11.8,2.4,34.6,5,1.6,3.2,0.8,0.4
"Lachie Whitfield",GWS,DEF,"Naughty Dog Entertainment",31,262,14,28.5,99.04,104.2,101.8,509,101.8,110,109,5,81.6,16.8,13.2,6.4,0,2.4,0.4,1.4,0,0
"Luke Davies-Uniacke",NTH,MID,"Prince McAndrew",26,135,9,58.3,98.07,91.2,101.4,507,101.4,105.3,111,5,84,12.6,14.6,5,0,5.4,1.4,1.8,0.2,0.6
"Luke Jackson",FRE,RUC/FWD,"Lachie’s Flesh Clarrynet",24,124,7,16.6,99.04,95,101.2,506,101.2,103,131,5,78.8,7,12.6,2,25.4,5.6,1.6,1.8,0.6,1.4
"Caleb Serong",FRE,MID,"Prince McAndrew",25,132,7,26.4,99.04,99,101,505,101,111,85,5,83.6,16.6,10.2,3.2,0,4.2,0.8,0.6,0.8,0.6
"Tristan Xerri",NTH,RUC,"Jags to riches",27,79,9,13.5,99.04,107.3,101,303,101,101,55,3,82.7,6.3,13.3,2,23.3,6.7,3.3,2,0.3,0
"Dayne Zorko",BRL,DEF,GuldenEye,37,309,15,86.2,98.48,93.9,100.6,503,100.6,80,29,5,73.2,19.8,5.2,6.8,0,1.8,0.8,0,0.4,0
"Ed Richards",WBD,MID,"Naughty Dog Entertainment",26,152,9,36.5,99.17,97.5,100.3,401,100.3,89.3,91,4,77.3,16.5,8.5,5,0,4.8,0.5,1.3,0.5,0
"Jordan Dawson",ADE,MID,"Kids can call you Bont-ju",29,160,11,13.7,99.31,110.2,99.8,399,99.8,101.3,85,4,80.8,15.8,8,3.3,0,5.5,1.8,1,1,0
"Christian Petracca",GCS,MID/FWD,iWalshMyslfwthATonInMyMid,30,215,12,40.6,99.04,90.4,99.3,298,99.3,99.3,69,3,71,12.3,13.3,4,0,2.3,0.3,0.3,2.3,1
"Josh Rachele",ADE,MID/FWD,"Jags to riches",23,75,5,102.9,96.14,68.2,98.8,494,98.8,108.7,124,5,80.4,16.2,7.4,4,0,4,1.2,1.6,1.8,0.2
"Will Ashcroft",BRL,MID,"Scissorlift Victims Unit",21,63,4,17.5,98.90,101.9,98.2,491,98.2,105,68,5,84,15.6,11.8,3.6,0,4.2,1.2,0.8,0.2,0.2
"Dan Houston",COL,DEF/MID,"Houston we have a problem",28,194,11,126.8,96.14,74.1,96.4,482,96.4,81,59,5,80.8,17,7.8,8,0,1.8,0.2,1,0.2,0.2
"Justin McInerney",SYD,MID/FWD,"Heartbreak Jake & da Subs",25,114,8,104.1,96.83,79.6,96.2,481,96.2,91.7,94,5,83.4,12,13.8,4.8,0,2.8,1.2,1.6,1.6,1
"Sam Walsh",CAR,MID,iWalshMyslfwthATonInMyMid,25,138,8,32.5,99.04,96.7,96.2,481,96.2,94,99,5,78.4,12,16.2,2.8,0,5.2,1.2,1.4,0.2,0.4
"Gryan Miers",GEE,MID/FWD,"Baz’s 8-balls",27,160,9,44.4,98.90,93.2,95.8,479,95.8,89.3,60,5,79.8,14.2,9.6,6.2,0,3.4,1.2,0,0,0.6
"James Sicily",HAW,DEF,"Lachie’s Flesh Clarrynet",31,184,13,150.6,96.14,79.1,95.8,479,95.8,90,115,5,91.4,15.6,7.6,8.4,0,2,1.8,0.4,0,0
"Lachie Neale",BRL,MID,"Lachie’s Flesh Clarrynet",32,299,15,81.9,98.48,93,95.8,479,95.8,93,99,5,86.6,12.6,16.4,5.2,0,2.4,0.4,0.2,0,0.2
"Nasiah Wanganeen-Milera",STK,D/M,GuldenEye,23,91,5,3.6,99.17,110.6,95.6,478,95.6,109.3,139,5,83.4,18,6.2,2.8,0,3.4,2.2,1,1.2,0.8
"Jack Crisp",COL,MID,"Banks' Palm Cards",32,279,15,171.2,92.98,84.1,94.4,472,94.4,94,97,5,77.6,11.4,11.4,7.2,0,3.4,0.4,0.2,0.4,0
"Bailey Williams",WBD,DEF/MID,"Naughty Dog Entertainment",28,179,11,185.8,94.63,76.4,93.8,469,93.8,96.7,79,5,85,12.2,9.2,7,0,3.2,1,0.6,0.8,1
"Luke Parker",NTH,DEF/MID,"Heartbreak Jake & da Subs",33,320,16,220.0,93.94,78.1,93.8,469,93.8,100.7,90,5,88.8,13.8,11,7.6,0,1.8,1,0.6,0.2,0
"Andrew Brayshaw",FRE,MID,"The Forrie Crystals",26,175,9,20.2,99.17,103.6,93.4,467,93.4,94,86,5,78,12,11.6,2.6,0,6.4,1.4,1.6,0.6,0.6
"Tim Taranto",RIC,MID,iWalshMyslfwthATonInMyMid,28,178,10,65.2,98.48,94.3,93.4,467,93.4,90.7,90,5,81.2,8.4,16.4,2.8,0,6.2,0.8,0.8,0.6,0.2
"Sam Flanders",STK,MID/FWD,"Kids can call you Bont-ju",24,94,7,26.6,98.76,96.9,93,465,93,89.7,85,5,80.6,11.8,12,4.8,0,4.4,1.8,0.2,0,0.4
"Angus Anderson",COL,MID,"Free Agent",22,1,1,321.0,55.23,56.3,92,92,92,92,92,1,67,15,1,5,0,6,0,0,1,0
"Brad Hill",STK,MID/FWD,"Banks' Palm Cards",32,282,15,228.8,91.32,72,91.6,458,91.6,86.3,95,5,83.4,16.6,6,6.6,0,2.2,0.4,0.6,0.4,0.2
"Caleb Daniel",NTH,DEF,iWalshMyslfwthATonInMyMid,29,220,12,150.3,95.87,84.2,91.6,458,91.6,86.3,56,5,85,14.2,9,5.8,0,3.8,0.8,0.8,0,0
"Milan Murdock",WCE,MID,"Baz’s 8-balls",25,2,1,,71.07,67.8,91.5,183,91.5,91.5,88,2,77,10,9,1,0,7.5,1,1,2,0.5
"Clayton Oliver",GWS,MID,"Lachie’s Flesh Clarrynet",28,210,11,69.1,98.35,91.5,91.4,457,91.4,96.3,89,5,80.6,10,20.6,2.6,0,3.2,0.8,1.4,0.4,0.6
"Jack Ginnivan",HAW,FWD,"Naughty Dog Entertainment",23,95,6,128.1,95.32,75.8,91.2,456,91.2,91.7,113,5,82.4,14.4,6.8,7,0,1.2,1,0.2,1.2,1
"Tim English",WBD,RUC,"Scissorlift Victims Unit",28,158,10,10.5,98.90,110.5,91,364,91,85.3,51,4,73.3,9,6.3,4,27,2.3,2.8,0.8,0.5,0
"Touk Miller",GCS,MID,"JD Vyvance",30,219,12,92.5,97.52,88.7,91,455,91,84.7,77,5,78.4,11,15.4,4.4,0,3,0,0.6,0.6,0.2
"Zac Bailey",BRL,MID/FWD,"Naughty Dog Entertainment",26,170,9,63.5,97.38,81.2,91,364,91,98.7,100,4,85.5,12.8,7.5,5,0,3.8,0.8,1.5,1.8,1
"Bodhi Uwland",GCS,DEF,"Naughty Dog Entertainment",22,54,5,243.3,87.33,65.9,90.8,454,90.8,101.7,87,5,89.6,15.6,8.8,6.6,0,1.8,1.2,0.6,0,0
"Connor Macdonald",HAW,FWD,"Lachie’s Flesh Clarrynet",23,95,5,94.8,95.73,73.5,90.8,454,90.8,97,96,5,80.2,15.2,7.4,5,0,2.8,0.8,0.4,0.6,1
"Tanner Bruhn",GEE,MID,"Lachie’s Flesh Clarrynet",23,71,6,154.9,94.21,68.1,90.8,454,90.8,87.3,120,5,67.8,15,9.8,4.6,0,3,1.4,0.6,0,0.8
"Sam Berry",ADE,MID,"Kids can call you Bont-ju",24,81,6,284.5,84.02,62.4,90,450,90,84.3,93,5,73.4,12.2,10.4,2.4,0.2,6.2,1.6,1,0.2,0.6
"Jacob Farrow",ESS,DEF/MID,"Lachie’s Flesh Clarrynet",18,3,1,162.4,88.84,62.5,89.7,269,89.7,89.7,102,3,78,14.3,4.3,10,0,2,0.7,0.3,0,0.3
"Jai Newcombe",HAW,MID,"Banks' Palm Cards",24,107,6,59.6,97.93,89.1,89.6,448,89.6,91.3,98,5,78.2,12.8,13.4,3.4,0,3.4,2.2,1.8,0.6,0.2
"Jeremy Cameron",GEE,FWD,GuldenEye,33,284,15,111.8,97.66,83,89,356,89,77.7,85,4,91.8,12.5,3.3,7.3,0.3,3,0.5,0.8,1.8,2.3
"Kane Farrell",PTA,DEF,"The Forrie Crystals",27,119,9,153.0,92.98,79.4,89,445,89,95,97,5,81.8,16.8,3.8,6.8,0,3.2,0.4,1,0,0.4
"Lachlan McAndrew",ADE,RUC,"Prince McAndrew",25,7,6,187.3,90.36,75.6,88.8,444,88.8,96.3,84,5,72.6,6.2,6,2,34.2,5,1.4,1.2,0,0.2
"Jason Horne-Francis",PTA,MID/FWD,"Banks' Palm Cards",22,85,5,39.7,98.76,89.4,88.6,443,88.6,88.3,97,5,78,14.6,5.4,5.8,0,2.6,1.6,2,1.6,1
"Marcus Windhager",STK,DEF/MID,"Heartbreak Jake & da Subs",22,80,5,89.4,96.14,84.3,88.2,441,88.2,77.3,81,5,83,16.4,8.8,5.4,0,1.4,1.4,0.6,0,0
"Brayden Maynard",COL,DEF,"Scissorlift Victims Unit",29,234,12,287.6,77.96,67,87.8,439,87.8,86.3,101,5,84.8,14.8,5.4,7.2,0,3.4,0.8,1.2,0,0.2
