name,team,position,owner,age,careerGames,seasons,adp,ownedPct,projAvg,avgPts,totalPts,L5,L3,L1,games,TOG%,kicks,handballs,marks,hitouts,tackles,freesFor,freesAgainst,goals,behinds
"Nick Daicos",COL,MID,"Lachie’s Flesh Clarrynet",23,112,5,3.4,99.18,111.3,120.4,2047,122.4,107,113,17,86.5,19.4,15.5,4.6,0,2.5,1.4,0.6,1.2,1.1
"Harry Sheezel",NTH,MID/FWD,GuldenEye,21,85,4,2.5,98.91,111.8,119.4,2150,138.6,134.7,126,18,81.3,15.4,16.3,6.7,0,4.9,0.9,1.1,0.4,0.6
"Bailey Smith",GEE,MID,"Xing’s Brother",25,143,8,8.5,99.18,113.9,119.1,2025,114.8,121.3,118,17,84.5,19.8,12.6,4.2,0,4.9,1.6,0.8,0.5,0.2
"Jordan Dawson",ADE,MID,"Kids can call you Bont-ju",29,171,11,13.5,99.32,110.2,114.5,1717,109,113.3,102,15,83.2,17.1,8.2,5.6,0,5.9,1.4,1.2,1.3,0.3
"Max Gawn",MEL,RUC,"Houston we have a problem",34,265,17,30.2,99.04,109.1,108.2,1948,104.2,99.7,100,18,82.7,10.7,10.8,4.3,31.3,1.7,2.6,1.1,0.7,0.4
"Isaac Heeney",SYD,MID/FWD,"The Forrie Crystals",30,240,12,30.4,99.18,98.1,107.4,1719,102,95.7,92,16,79.4,13.3,14.1,3.2,0,5.1,2,0.9,1.6,0.6
"Nasiah Wanganeen-Milera",STK,D/M,GuldenEye,23,100,5,3.6,99.18,110.6,107.1,1500,120.2,118.3,76,14,82.1,21.6,8.4,3.1,0,2.8,1.8,0.9,0.9,0.9
"Zach Merrett",ESS,MID,"The Forrie Crystals",30,269,13,39.0,99.04,101,106.7,1921,98.6,91.3,123,18,83.3,15,12.4,4.9,0,4.8,1.6,0.7,0.5,0.3
"Will Ashcroft",BRL,MID,"Scissorlift Victims Unit",22,76,4,17.5,98.77,101.9,105.3,1896,131.2,123.3,108,18,82.5,16.5,11.5,5.1,0,3.6,1.2,0.7,0.6,0.7
"Lachie Neale",BRL,MID,"Lachie’s Flesh Clarrynet",33,312,15,81.7,98.50,93,104.9,1888,107.2,114.7,103,18,83.1,14.2,16.6,5.9,0,2.4,1.1,0.3,0.3,0.3
"Lachie Ash",GWS,DEF,"Xing’s Brother",25,143,7,23.3,99.18,101.2,104.6,1883,94.8,98,89,18,82.2,18.9,10.3,7.4,0,1.5,0.5,0.7,0.1,0.1
"Zak Butters",PTA,MID,"Houston we have a problem",25,156,8,11.7,98.77,103.3,104.5,1777,105.8,108.7,95,17,82.4,17,12.8,3.5,0,4.2,2,1.2,0.3,0.6
"Marcus Bontempelli",WBD,MID,"Kids can call you Bont-ju",30,276,13,10.0,99.32,112.5,103.6,1864,102.4,95.3,106,18,84,13.4,13.2,3.8,0.2,4.6,0.9,0.9,1.4,0.5
"Max Holmes",GEE,MID,"Kids can call you Bont-ju",23,120,6,17.7,99.04,103.4,102.4,1843,99.4,97.3,69,18,79.7,17.1,12.1,4.9,0,3.1,0.8,0.8,0.2,0.3
"Brodie Grundy",SYD,RUC,"Heartbreak Jake & da Subs",32,259,14,32.0,98.91,103.9,101.8,1730,94.6,98.7,83,17,80.8,6.9,12.8,2.1,35.9,4,2.1,2.7,0.5,0.4
"Luke Jackson",FRE,RUC/FWD,"Lachie’s Flesh Clarrynet",24,137,7,16.7,98.91,95,101.7,1831,100,81.7,74,18,77.6,7.1,11.5,2.7,24.8,5.1,1.8,1.7,1.1,0.7
"Noah Anderson",GCS,MID,"Houston we have a problem",25,146,7,17.0,98.91,102.5,100.8,1714,105.2,87.7,85,17,85.1,16.6,11.1,5.1,0,3.4,0.6,1.1,0.3,0.6
