name,team,position,owner,age,careerGames,seasons,adp,ownedPct,projAvg,avgPts,totalPts,L5,L3,L1,games,TOG%,kicks,handballs,marks,hitouts,tackles,freesFor,freesAgainst,goals,behinds
"Nick Daicos",COL,MID,"Lachie’s Flesh Clarrynet",23,110,5,3.4,99.18,111.3,122.5,1837,125.6,134,111,15,86.5,19.4,15.8,4.8,0,2.4,1.5,0.5,1.3,1.1
"Bailey Smith",GEE,MID,"Xing’s Brother",25,141,8,8.5,99.18,113.9,119.1,1787,111.8,112,126,15,83.9,19.5,12.7,4.1,0,5.3,1.7,0.8,0.4,0.3
"Harry Sheezel",NTH,MID/FWD,GuldenEye,21,83,4,2.5,98.91,111.8,118.8,1900,132.4,147.7,154,16,80.9,15.4,16.5,6.8,0,4.7,1,1.3,0.4,0.6
"Jordan Dawson",ADE,MID,"Kids can call you Bont-ju",29,169,11,13.5,99.32,110.2,115.6,1503,123.6,110.3,126,13,83.2,17.5,7.8,5.8,0,6,1.5,1.3,1.4,0.2
"Zach Merrett",ESS,MID,"The Forrie Crystals",30,267,13,39.0,99.04,101,110.2,1763,114,111.7,116,16,83.7,15.6,12.4,5.3,0,5,1.4,0.7,0.5,0.3
"Isaac Heeney",SYD,MID/FWD,"The Forrie Crystals",30,238,12,30.4,99.18,98.1,109.9,1539,120.6,110,107,14,79.3,13.3,14.1,3.2,0,5.4,2.1,1,1.8,0.6
"Max Gawn",MEL,RUC,"Houston we have a problem",34,263,17,30.2,99.04,109.1,109,1744,112.6,105.7,95,16,82.8,10.9,10.7,4.1,31.7,1.8,2.6,1,0.6,0.4
"Nasiah Wanganeen-Milera",STK,D/M,GuldenEye,23,98,5,3.6,99.18,110.6,108.8,1305,123,135.3,160,12,82.1,22.3,8.4,3.2,0,2.5,1.8,0.8,0.9,0.9
"Zak Butters",PTA,MID,"Houston we have a problem",25,155,8,11.7,99.04,103.3,105.1,1682,101,110.3,89,16,83.6,17.1,12.9,3.3,0,4.3,2.1,1.2,0.3,0.6
"Luke Jackson",FRE,RUC/FWD,"Lachie’s Flesh Clarrynet",24,135,7,16.7,98.91,95,104.9,1679,103,116,93,16,77.6,7.6,11.3,2.9,25.1,5.2,1.8,1.6,1.2,0.8
