name,team,position,owner,age,careerGames,seasons,adp,ownedPct,projAvg,avgPts,totalPts,L5,L3,L1,games,TOG%,kicks,handballs,marks,hitouts,tackles,freesFor,freesAgainst,goals,behinds
"Hayden Young",FRE,MID,iWalshMyslfwthATonInMyMid,25,94,7,62.4,96.58,86.5,79.8,399,79.8,79.7,76,5,73.8,10,9,3.6,0.2,3.8,0.6,0.4,1,0.2
"Josh Treacy",FRE,FWD,"JD Vyvance",23,89,6,165.2,94.66,68.8,79.8,718,68.8,80,87,9,88.6,9,4.6,6.9,0,2.6,1.4,1.4,2.3,1.7
"Colby McKercher",NTH,DEF/FWD,"JD Vyvance",21,48,3,36.8,97.26,88.4,79.6,716,82.2,81.7,86,9,81.1,14.3,8.2,3.1,0,2.3,0.3,0.6,0.4,0.1
"Jye Caldwell",ESS,MID,"Scissorlift Victims Unit",25,97,8,37.0,97.81,99.6,79.3,634,70.2,74.3,41,8,71,9.6,9.9,2.6,0,5.1,0.9,1,0.6,0.6
"Dylan Stephens",NTH,MID,"Naughty Dog Entertainment",25,90,7,,77.70,61.4,79.2,713,65.4,62.3,66,9,84.7,13,7.9,5.4,0,2,0.9,0.8,0.2,0.2
"Oliver Florent",CAR,DEF/MID,"Banks' Palm Cards",27,193,10,215.4,89.19,71,79.2,713,79.6,72,41,9,83.7,14.4,7.4,5,0,1.8,0.2,0.7,0.1,0
"Jordan Ridley",ESS,DEF,"Heartbreak Jake & da Subs",27,106,10,199.3,85.64,76.8,79,158,79,79,52,2,59,13,5.5,9,0,0.5,0,0,0,0
"Rhyan Mansell",RIC,FWD,"Free Agent",25,74,6,,12.59,58.9,79,79,79,79,79,1,82,9,3,7,0,4,0,1,2,0
"Ed Langdon",MEL,D/M/F,"Naughty Dog Entertainment",30,211,12,179.8,90.70,74.2,78.8,709,86,91.7,114,9,88.6,11.1,8.4,6.3,0,2,0.6,0.7,0.4,0.3
"Josh Ward",HAW,MID,"Jags to riches",22,76,5,125.2,92.20,77,78.4,706,66.2,78,82,9,76,10.7,10.4,3.9,0,3.7,0.8,0.6,0,0.1
"Jarrod Witts",GCS,RUC,GuldenEye,33,213,15,124.4,94.12,87.5,78.3,626,68.2,78.3,79,8,75.5,6.6,6,1.9,34.4,2.5,1.5,2,0.1,0.1
"Tim Kelly",WCE,MID/FWD,"Heartbreak Jake & da Subs",31,172,9,203.1,91.24,72.9,78.3,626,77,81.3,85,8,74.3,10.9,12.5,3.4,0,2.9,0.6,0.9,0.1,0.3
"Jarrod Berry",BRL,MID,"Kids can call you Bont-ju",28,190,10,148.1,90.29,82.1,78.2,469,75,64.7,32,6,68.5,11.8,7.2,5.2,0,3,1.5,0.7,0.2,0.3
"Elijah Tsatas",ESS,MID,"Prince McAndrew",21,19,4,276.4,76.61,64.3,78,234,78,78,60,3,70.3,9.7,14.3,4.7,0,1.3,0,0.3,0.3,0
"Jeremy Howe",COL,DEF,"Baz’s 8-balls",35,278,16,,47.74,52.3,78,546,88.6,93.3,88,7,89,14.9,2.6,8,0,1.3,0.9,0.6,0,0
"Jordon Sweet",PTA,RUC,"Naughty Dog Entertainment",28,56,8,155.2,93.84,78.3,78,702,80,79.3,60,9,77.8,5.9,6.3,2.7,29.3,2.6,1.8,1.7,0.4,0.7
"Jy Simpkin",NTH,MID/FWD,"Lachie’s Flesh Clarrynet",28,182,10,92.8,96.44,81.4,77.9,701,81.6,77.7,84,9,84,13,8.1,4.1,0,2.1,0.9,1.1,0.7,0.3
"Ollie Wines",PTA,MID,"Scissorlift Victims Unit",31,280,14,149.0,93.57,87.5,77.9,545,83,78.7,56,7,64.1,7.7,13.6,4.1,0,4.1,0.7,1.3,0.3,0
"Joel Freijah",WBD,MID/FWD,"Kids can call you Bont-ju",20,45,3,72.2,95.76,76.1,77.8,700,73.6,82.3,101,9,88.1,10,10.3,3.9,0,3.9,0.8,1.6,0.6,0.4
"Riley Bice",SYD,DEF,"JD Vyvance",25,26,2,237.9,87.00,65.5,77.7,777,69.4,68,66,10,80.1,12.6,8.2,5.7,0,1.8,0.7,0.7,0.1,0
"Ryan Lester",BRL,DEF,"Prince McAndrew",33,243,16,,57.32,56.8,77.6,776,83.2,90,63,10,90.7,11.7,5.5,8.3,0,1.8,0.6,0.4,0,0
"Tom Atkins",GEE,MID,"JD Vyvance",30,163,8,147.3,91.38,84.4,77.6,776,68.8,67.3,90,10,73.2,7.9,11.5,1.8,0,6.7,1.4,0.9,0,0
"Aliir Aliir",PTA,DEF,"Lachie’s Flesh Clarrynet",31,188,13,,65.94,56.8,77.5,775,73.4,79.3,42,10,99.7,13,4.1,9.4,0,1.3,0.8,1.3,0,0
"Trent Rivers",MEL,DEF,"Prince McAndrew",24,125,7,74.4,92.89,85,77.5,155,77.5,77.5,92,2,70,10.5,8,6.5,0,2.5,0,0,0,0.5
"Jack Gunston",HAW,FWD,iWalshMyslfwthATonInMyMid,34,291,17,255.9,76.33,67,77.3,618,77.6,83.7,100,8,85.1,9.1,2.3,6.1,0,0.9,0.5,0.6,3.8,2.4
"Jagga Smith",CAR,MID,"Jags to riches",20,9,2,66.6,96.03,69.2,76.8,691,73.6,82.3,81,9,75.3,10.2,12.6,3,0,2.7,1.1,0.7,0.3,0.2
"Joel Jeffrey",GCS,DEF,"Heartbreak Jake & da Subs",24,62,6,183.5,87.96,76,76.8,691,67.2,84,66,9,70,13.1,6.4,5.9,0,1.3,0.6,0.6,0.4,0
"George Wardlaw",NTH,MID,iWalshMyslfwthATonInMyMid,21,45,4,131.2,91.93,76.7,76,456,80.4,81.3,78,6,59.5,8.7,9.8,2.8,0,5.7,1.7,1.2,0.2,0
"Massimo D'Ambrosio",HAW,MID,"Jags to riches",22,75,5,179.2,87.28,75.9,76,684,84.2,84,49,9,81.8,12,6.7,5,0,2.7,0.3,0.6,0.3,0.3
"Conor Nash",HAW,MID,"Scissorlift Victims Unit",27,129,10,221.1,78.80,75.2,75.7,681,74.8,75.7,63,9,74.7,7.9,11.7,2.2,0,5.6,1.3,1,0.2,0.1
"Darcy Wilson",STK,MID/FWD,"Houston we have a problem",20,49,3,131.6,92.75,70.3,75.6,605,75,91.7,96,8,83.4,10.1,10.3,4,0,2.1,1.3,1.3,1,0.8
