name,team,position,owner,age,careerGames,seasons,adp,ownedPct,projAvg,avgPts,totalPts,L5,L3,L1,games,TOG%,kicks,handballs,marks,hitouts,tackles,freesFor,freesAgainst,goals,behinds
"Nick Daicos",COL,MID,"Lachie’s Flesh Clarrynet",23,105,5,3.4,99.18,111.3,120.9,1209,116.4,107.7,126,10,86.6,19.3,15.4,5,0,2.2,1.5,0.4,1.1,1.5
"Bailey Smith",GEE,MID,"Xing’s Brother",25,137,8,8.5,99.18,113.9,120.5,1325,111.8,127,97,11,83.8,19.8,12.5,4.3,0,4.7,2,0.5,0.5,0.3
"Errol Gulden",SYD,MID,GuldenEye,23,105,6,9.8,98.36,108.8,113.5,227,113.5,113.5,101,2,73.5,13.5,10,4.5,0,9.5,0.5,1,0.5,1
"Harry Sheezel",NTH,MID/FWD,GuldenEye,21,78,4,2.5,98.91,111.8,112.5,1238,106.8,113.7,121,11,79.5,15.9,14.6,6.1,0,4.3,1,1.4,0.5,0.5
"Archie Roberts",ESS,DEF/MID,"The Forrie Crystals",20,38,3,45.0,98.22,91.6,111.5,1227,116.6,121.3,106,11,83.5,22.8,9.6,7.2,0,1,0.7,1,0.1,0
"Jordan Dawson",ADE,MID,"Kids can call you Bont-ju",29,164,11,13.5,99.32,110.2,110.6,885,114.2,123.3,131,8,83.3,17.5,8,5.5,0,5.1,1.6,1.1,1.1,0.1
"Zach Merrett",ESS,MID,"The Forrie Crystals",30,262,13,39.0,99.04,101,108.5,1193,105.6,118.3,148,11,82.5,15.1,12.6,5.1,0,5,1.6,0.9,0.5,0.5
"Brodie Grundy",SYD,RUC,"Heartbreak Jake & da Subs",32,253,14,32.3,98.91,103.9,107.4,1181,107.8,98.3,80,11,81.3,7.5,13,2.6,35.8,4.3,1.8,2.9,0.7,0.5
"Max Gawn",MEL,RUC,"Houston we have a problem",34,258,17,30.2,99.04,109.1,107.4,1181,96.4,96.3,99,11,82.5,10.5,10.3,4,31,1.8,2.7,0.8,0.7,0.5
"Jack Sinclair",STK,DEF,"The Forrie Crystals",31,221,12,36.2,99.04,100,107,1177,102,104,101,11,84.2,20.6,8.7,7,0,1.6,0.4,0.3,0.1,0
"Zak Butters",PTA,MID,"Houston we have a problem",25,150,8,11.7,99.04,103.3,107,1177,105.6,109.3,97,11,84.1,16.9,13.8,3.5,0,4.4,2,1.3,0.3,0.7
"Lachie Ash",GWS,DEF,"Xing’s Brother",24,136,7,23.3,99.18,101.2,105.9,1165,97,92,87,11,81.2,19,10.6,7.8,0,1.4,0.7,0.7,0,0.2
"Luke Jackson",FRE,RUC/FWD,"Lachie’s Flesh Clarrynet",24,130,7,16.6,98.91,95,105.8,1164,111,97,93,11,78,7.5,11.8,2.6,25.9,5.7,2,1.5,0.7,1.1
"Lachie Neale",BRL,MID,"Lachie’s Flesh Clarrynet",33,305,15,81.6,98.50,93,105.7,1163,117.4,106.3,110,11,83.9,14.9,15.8,6,0,2.5,0.9,0.5,0.3,0.4
"Marcus Bontempelli",WBD,MID,"Kids can call you Bont-ju",30,269,13,10.0,99.32,112.5,105.2,1157,112.4,114,107,11,84.8,13.4,14.1,4.4,0.1,4.1,0.8,0.8,1.5,0.3
"Max Holmes",GEE,MID,"Kids can call you Bont-ju",23,113,6,17.8,98.91,103.4,104.4,1148,97.2,100,110,11,80.4,17.4,12.2,5.6,0,2.9,0.7,1.1,0.3,0.3
"Isaac Heeney",SYD,MID/FWD,"The Forrie Crystals",30,233,12,30.3,99.18,98.1,104,936,100.4,96,98,9,77.2,12.7,13.4,2.9,0,5.2,2.1,1,1.7,0.4
