name,team,position,owner,age,careerGames,seasons,adp,ownedPct,projAvg,avgPts,totalPts,L5,L3,L1,games,TOG%,kicks,handballs,marks,hitouts,tackles,freesFor,freesAgainst,goals,behinds
"Bailey Smith",GEE,MID,"Baz’s 8-balls",25,136,8,7.4,99.18,113.9,122.8,1228,121.4,118.3,157,10,83.2,20.6,11.8,4.5,0,5,2.1,0.5,0.5,0.3
"Nick Daicos",COL,MID,"Lachie’s Flesh Clarrynet",23,104,5,2.5,99.18,111.3,120.3,1083,116.8,107,102,9,87,19,15.8,5,0,2.4,1.2,0.3,0.9,1.4
"Errol Gulden",SYD,MID,GuldenEye,23,105,6,9.5,98.36,108.8,113.5,227,113.5,113.5,101,2,73.5,13.5,10,4.5,0,9.5,0.5,1,0.5,1
"Archie Roberts",ESS,DEF/MID,"The Forrie Crystals",20,37,3,45.0,98.22,91.6,112.1,1121,118.8,114.3,101,10,83.5,23,9.4,7.2,0,1,0.8,0.9,0.1,0
"Harry Sheezel",NTH,MID/FWD,GuldenEye,21,77,4,2.5,98.91,111.8,111.7,1117,109.8,100,93,10,79,15.9,14.5,6.1,0,4.1,1,1.4,0.5,0.5
"Brodie Grundy",SYD,RUC,"Heartbreak Jake & da Subs",32,252,14,32.4,98.77,103.9,110.1,1101,117.8,114.3,161,10,81.1,7.8,13.3,2.8,36.3,4.4,1.8,3.1,0.8,0.5
"Max Gawn",MEL,RUC,"Houston we have a problem",34,257,17,30.4,99.04,109.1,108.2,1082,95.2,97,84,10,82.6,10.7,10.3,4.2,29.9,2,2.9,0.9,0.7,0.6
"Zak Butters",PTA,MID,"Houston we have a problem",25,149,8,11.7,99.04,103.3,108,1080,111.2,114.3,122,10,84.1,17.1,13.9,3.4,0,4.5,2.2,1.3,0.3,0.6
"Lachie Ash",GWS,DEF,"Baz’s 8-balls",24,135,7,23.3,99.18,101.2,107.8,1078,102.4,97.3,100,10,80.9,19,10.8,8.2,0,1.5,0.8,0.8,0,0.2
"Jordan Dawson",ADE,MID,"Kids can call you Bont-ju",29,163,11,13.5,99.32,110.2,107.7,754,108,118.3,106,7,82.1,17,8.1,5.6,0,4.6,1.6,1,1.1,0
"Jack Sinclair",STK,DEF,"The Forrie Crystals",31,220,12,34.8,99.04,100,107.6,1076,105.2,104.7,115,10,84.6,20.6,8.8,7.1,0,1.7,0.4,0.3,0.1,0
"Luke Jackson",FRE,RUC/FWD,"Lachie’s Flesh Clarrynet",24,129,7,16.5,98.91,95,107.1,1071,113,109,70,10,78.1,7.6,11.5,2.6,26.4,6,2,1.6,0.8,1.1
"Lachie Neale",BRL,MID,"Lachie’s Flesh Clarrynet",32,304,15,80.6,98.50,93,105.3,1053,114.8,106,85,10,84,15.4,15.2,6.3,0,2.1,0.7,0.3,0.2,0.4
"Marcus Bontempelli",WBD,MID,"Kids can call you Bont-ju",30,268,13,8.9,99.32,112.5,105,1050,96.6,113.7,92,10,84.9,13.6,13.7,4.2,0.1,4.3,0.9,0.9,1.4,0.3
"Isaac Heeney",SYD,MID/FWD,"The Forrie Crystals",30,232,12,29.3,99.18,98.1,104.8,838,109.8,100,98,8,76.4,13,13.5,3.1,0,4.9,2.3,1.1,1.8,0.5
"Tristan Xerri",NTH,RUC,"Jags to riches",27,83,9,13.4,99.04,107.3,104.6,732,96.8,94.7,69,7,77.4,8.4,12.7,2.4,22,6.1,4.6,2.1,0.3,0.1
"Zach Merrett",ESS,MID,"The Forrie Crystals",30,261,13,37.8,99.04,101,104.5,1045,106.2,106,96,10,82,14.8,12.1,4.4,0,5,1.6,0.8,0.5,0.5
